truth,pred,pred_sir,fecha,xprice
256.0,239.98110165764325,276.68397849232576,2021-02-22,0
256.0,258.24286464395914,253.79386478826322,2021-02-22,0
70.0,241.0,0.0,2021-02-23,0
70.0,39.0,0.0,2021-02-23,0
330.0,465.0,228.0,2021-02-24,0
330.0,55.0,228.0,2021-02-24,0
656.0,297.0,130.0,2021-02-25,0
656.0,184.0,130.0,2021-02-25,0
468.0,278.0,135.0,2021-02-26,0
468.0,123.0,135.0,2021-02-26,0
448.0,332.0,49.0,2021-02-27,0
448.0,94.0,49.0,2021-02-27,0
482.0,204.0,0.0,2021-02-28,0
482.0,67.0,0.0,2021-02-28,0
345.0,8.0,0.0,2021-03-01,0
345.0,65.0,0.0,2021-03-01,0
63.0,270.0,0.0,2021-03-02,0
380.0,406.0,104.0,2021-03-03,0
703.0,93.0,9.0,2021-03-04,0
580.0,362.0,82.0,2021-03-05,0
513.0,148.0,156.0,2021-03-06,0
575.0,208.0,27.0,2021-03-07,0
343.0,369.20804074177045,340.160231777325,2021-03-08,0
343.0,358.37789987155185,336.0731370688328,2021-03-08,0
89.0,273.0,0.0,2021-03-09,0
89.0,127.0,0.0,2021-03-09,0
456.0,585.0,40.0,2021-03-10,0
456.0,0.0,40.0,2021-03-10,0
843.0,580.0,0.0,2021-03-11,0
843.0,0.0,0.0,2021-03-11,0
623.0,513.0,206.0,2021-03-12,0
623.0,37.0,206.0,2021-03-12,0
656.0,540.0,112.0,2021-03-13,0
656.0,0.0,112.0,2021-03-13,0
673.0,343.0,0.0,2021-03-14,0
673.0,0.0,0.0,2021-03-14,0
482.0,89.0,0.0,2021-03-15,0
482.0,3.0,0.0,2021-03-15,0
