truth,pred,pred_sir,fecha,xprice
9988.0,9495.87630645543,9880.400300088022,2021-03-22,200
9988.0,9198.204670551966,9685.315635693314,2021-03-22,200
0.0,10307.0,0.0,2021-03-23,200
0.0,0.0,0.0,2021-03-23,200
7893.0,13712.0,0.0,2021-03-24,200
7893.0,0.0,0.0,2021-03-24,200
10587.0,11678.0,0.0,2021-03-25,200
10587.0,0.0,0.0,2021-03-25,200
8450.0,10328.0,127.0,2021-03-26,200
8450.0,0.0,127.0,2021-03-26,200
7458.0,9372.0,1669.0,2021-03-27,200
7458.0,0.0,1669.0,2021-03-27,200
7324.0,9988.0,5023.0,2021-03-28,200
7324.0,0.0,5023.0,2021-03-28,200
3814.0,0.0,0.0,2021-03-29,200
3814.0,0.0,0.0,2021-03-29,200
1582.0,7893.0,0.0,2021-03-30,200
6617.0,0.0,2805.0,2021-03-31,200
8315.0,8450.0,1726.0,2021-04-01,200
6929.0,0.0,1422.0,2021-04-02,200
5918.0,7324.0,1417.0,2021-04-03,200
3487.0,0.0,2917.0,2021-04-04,200
2049.0,2147.3919659981266,2122.97483437233,2021-04-05,200
2049.0,2099.153138826349,2135.2745394356175,2021-04-05,200
1857.0,6617.0,0.0,2021-04-06,200
1857.0,0.0,0.0,2021-04-06,200
1196.0,8315.0,3956.0,2021-04-07,200
1196.0,0.0,3956.0,2021-04-07,200
5298.0,6929.0,222.0,2021-04-08,200
5298.0,0.0,222.0,2021-04-08,200
6834.0,5918.0,173.0,2021-04-09,200
6834.0,0.0,173.0,2021-04-09,200
5069.0,3487.0,379.0,2021-04-10,200
5069.0,0.0,379.0,2021-04-10,200
4644.0,2049.0,2062.0,2021-04-11,200
4644.0,0.0,2062.0,2021-04-11,200
2091.0,1857.0,0.0,2021-04-12,200
2091.0,0.0,0.0,2021-04-12,200
