truth,pred,pred_sir,fecha,xprice
619.0,674.9752659251732,594.2435802311202,2021-03-22,200
619.0,576.965894313285,666.8245176615161,2021-03-22,200
1271.0,0.0,0.0,2021-03-23,200
1271.0,762.0,0.0,2021-03-23,200
259.0,0.0,0.0,2021-03-24,200
259.0,799.0,0.0,2021-03-24,200
0.0,0.0,0.0,2021-03-25,200
0.0,785.0,0.0,2021-03-25,200
802.0,0.0,72.0,2021-03-26,200
802.0,561.0,72.0,2021-03-26,200
509.0,0.0,0.0,2021-03-27,200
509.0,402.0,0.0,2021-03-27,200
0.0,63.0,369.0,2021-03-28,200
0.0,474.0,369.0,2021-03-28,200
805.0,184.0,0.0,2021-03-29,200
805.0,1016.0,0.0,2021-03-29,200
672.0,0.0,307.0,2021-03-30,200
1109.0,0.0,344.0,2021-03-31,200
617.0,802.0,304.0,2021-04-01,200
589.0,0.0,346.0,2021-04-02,200
678.0,0.0,98.0,2021-04-03,200
710.0,805.0,177.0,2021-04-04,200
548.0,542.124827936959,592.7031651412342,2021-04-05,200
548.0,510.7612591086877,565.6584792612878,2021-04-05,200
452.0,108.0,128.0,2021-04-06,200
452.0,878.0,128.0,2021-04-06,200
116.0,0.0,344.0,2021-04-07,200
116.0,617.0,344.0,2021-04-07,200
386.0,0.0,159.0,2021-04-08,200
386.0,589.0,159.0,2021-04-08,200
608.0,0.0,216.0,2021-04-09,200
608.0,678.0,216.0,2021-04-09,200
589.0,0.0,0.0,2021-04-10,200
589.0,710.0,0.0,2021-04-10,200
647.0,0.0,70.0,2021-04-11,200
647.0,548.0,70.0,2021-04-11,200
638.0,0.0,0.0,2021-04-12,200
638.0,452.0,0.0,2021-04-12,200
