truth,pred,pred_sir,fecha,xprice
468.0,484.0414936035263,453.46561672234753,2021-01-11,0
468.0,488.00857888317756,481.0278937674968,2021-01-11,0
306.0,469.0,485.0,2021-01-12,0
306.0,290.0,485.0,2021-01-12,0
228.0,585.0,397.0,2021-01-13,0
228.0,735.0,397.0,2021-01-13,0
872.0,786.0,403.0,2021-01-14,0
872.0,1101.0,403.0,2021-01-14,0
648.0,545.0,289.0,2021-01-15,0
648.0,967.0,289.0,2021-01-15,0
486.0,265.0,168.0,2021-01-16,0
486.0,623.0,168.0,2021-01-16,0
551.0,247.0,108.0,2021-01-17,0
551.0,485.0,108.0,2021-01-17,0
386.0,339.0,434.0,2021-01-18,0
386.0,185.0,434.0,2021-01-18,0
168.0,240.0,543.0,2021-01-19,0
604.0,888.0,789.0,2021-01-20,0
513.0,705.0,1146.0,2021-01-21,0
561.0,528.0,1039.0,2021-01-22,0
60.0,581.0,720.0,2021-01-23,0
116.0,416.0,588.0,2021-01-24,0
417.0,408.5900395142481,411.30879464637025,2021-01-25,0
417.0,426.5516101641807,381.1415186580634,2021-01-25,0
191.0,608.0,612.0,2021-01-26,0
191.0,348.0,612.0,2021-01-26,0
8.0,528.0,859.0,2021-01-27,0
8.0,290.0,859.0,2021-01-27,0
87.0,573.0,1218.0,2021-01-28,0
87.0,317.0,1218.0,2021-01-28,0
86.0,0.0,196.0,2021-01-29,0
86.0,60.0,196.0,2021-01-29,0
0.0,117.0,795.0,2021-01-30,0
0.0,64.0,795.0,2021-01-30,0
0.0,418.0,664.0,2021-01-31,0
0.0,228.0,664.0,2021-01-31,0
267.0,192.0,580.0,2021-02-01,0
267.0,102.0,580.0,2021-02-01,0
