truth,pred,pred_sir,fecha,xprice
29674.0,28444.835055722328,30950.294155436277,2021-03-22,200
29674.0,29187.994549882038,27733.03169732846,2021-03-22,200
15530.0,15835.0,0.0,2021-03-23,200
15530.0,8749.0,0.0,2021-03-23,200
14217.0,17557.0,0.0,2021-03-24,200
14217.0,13946.0,0.0,2021-03-24,200
63604.0,3199.0,0.0,2021-03-25,200
63604.0,30416.0,0.0,2021-03-25,200
45171.0,0.0,0.0,2021-03-26,200
45171.0,34242.0,0.0,2021-03-26,200
40810.0,0.0,1544.0,2021-03-27,200
40810.0,34436.0,1544.0,2021-03-27,200
41939.0,0.0,15756.0,2021-03-28,200
41939.0,29674.0,15756.0,2021-03-28,200
35851.0,0.0,0.0,2021-03-29,200
35851.0,15530.0,0.0,2021-03-29,200
8921.0,0.0,5371.0,2021-03-30,200
30578.0,63604.0,13588.0,2021-03-31,200
57446.0,0.0,10333.0,2021-04-01,200
50000.0,40810.0,10642.0,2021-04-02,200
46422.0,0.0,11377.0,2021-04-03,200
0.0,35851.0,7477.0,2021-04-04,200
80166.0,73868.33132360496,85253.96144188648,2021-04-05,200
80166.0,79735.39600233537,86295.23056861345,2021-04-05,200
10663.0,17080.0,0.0,2021-04-06,200
10663.0,0.0,0.0,2021-04-06,200
7514.0,57446.0,37251.0,2021-04-07,200
7514.0,0.0,37251.0,2021-04-07,200
0.0,50000.0,4183.0,2021-04-08,200
0.0,0.0,4183.0,2021-04-08,200
96271.0,46422.0,5233.0,2021-04-09,200
96271.0,0.0,5233.0,2021-04-09,200
0.0,0.0,6599.0,2021-04-10,200
0.0,0.0,6599.0,2021-04-10,200
0.0,80166.0,3310.0,2021-04-11,200
0.0,0.0,3310.0,2021-04-11,200
117561.0,10663.0,0.0,2021-04-12,200
117561.0,0.0,0.0,2021-04-12,200
