truth,pred,pred_sir,fecha,xprice
766.0,728.3713838512201,730.0444693190757,2021-03-22,200
766.0,708.9014446943555,769.953931611354,2021-03-22,200
522.0,0.0,0.0,2021-03-23,200
522.0,338.0,0.0,2021-03-23,200
354.0,0.0,0.0,2021-03-24,200
354.0,534.0,0.0,2021-03-24,200
661.0,0.0,0.0,2021-03-25,200
661.0,544.0,0.0,2021-03-25,200
573.0,0.0,0.0,2021-03-26,200
573.0,455.0,0.0,2021-03-26,200
545.0,0.0,42.0,2021-03-27,200
545.0,482.0,42.0,2021-03-27,200
562.0,0.0,551.0,2021-03-28,200
562.0,766.0,551.0,2021-03-28,200
596.0,0.0,0.0,2021-03-29,200
596.0,522.0,0.0,2021-03-29,200
533.0,0.0,0.0,2021-03-30,200
335.0,661.0,174.0,2021-03-31,200
413.0,0.0,194.0,2021-04-01,200
745.0,545.0,128.0,2021-04-02,200
589.0,0.0,148.0,2021-04-03,200
505.0,596.0,414.0,2021-04-04,200
451.0,418.6919182682733,434.4691061231218,2021-04-05,200
451.0,462.4289241315113,471.52443358508566,2021-04-05,200
320.0,0.0,0.0,2021-04-06,200
320.0,335.0,0.0,2021-04-06,200
423.0,0.0,190.0,2021-04-07,200
423.0,413.0,190.0,2021-04-07,200
370.0,0.0,79.0,2021-04-08,200
370.0,745.0,79.0,2021-04-08,200
344.0,0.0,26.0,2021-04-09,200
344.0,589.0,26.0,2021-04-09,200
426.0,0.0,57.0,2021-04-10,200
426.0,505.0,57.0,2021-04-10,200
419.0,0.0,333.0,2021-04-11,200
419.0,451.0,333.0,2021-04-11,200
300.0,0.0,0.0,2021-04-12,200
300.0,320.0,0.0,2021-04-12,200
