truth,pred,pred_sir,fecha,xprice
404.0,382.23016020726067,385.31168952355347,2021-02-22,0
404.0,428.2606527695487,440.80992623361806,2021-02-22,0
272.0,545.0,0.0,2021-02-23,0
272.0,80.0,0.0,2021-02-23,0
667.0,823.0,442.0,2021-02-24,0
667.0,0.0,442.0,2021-02-24,0
935.0,487.0,273.0,2021-02-25,0
935.0,99.0,273.0,2021-02-25,0
605.0,382.0,182.0,2021-02-26,0
605.0,19.0,182.0,2021-02-26,0
538.0,962.0,394.0,2021-02-27,0
538.0,0.0,394.0,2021-02-27,0
756.0,404.0,0.0,2021-02-28,0
756.0,0.0,0.0,2021-02-28,0
372.0,272.0,0.0,2021-03-01,0
372.0,55.0,0.0,2021-03-01,0
269.0,603.0,0.0,2021-03-02,0
637.0,236.0,223.0,2021-03-03,0
857.0,331.0,44.0,2021-03-04,0
451.0,154.0,88.0,2021-03-05,0
576.0,577.0,532.0,2021-03-06,0
496.0,0.0,0.0,2021-03-07,0
316.0,304.4059732737119,336.6540930873256,2021-03-08,0
316.0,290.9722209597819,324.4676404700666,2021-03-08,0
193.0,637.0,0.0,2021-03-09,0
193.0,0.0,0.0,2021-03-09,0
448.0,857.0,84.0,2021-03-10,0
448.0,0.0,84.0,2021-03-10,0
574.0,451.0,0.0,2021-03-11,0
574.0,0.0,0.0,2021-03-11,0
529.0,576.0,342.0,2021-03-12,0
529.0,0.0,342.0,2021-03-12,0
537.0,496.0,433.0,2021-03-13,0
537.0,0.0,433.0,2021-03-13,0
502.0,316.0,0.0,2021-03-14,0
502.0,0.0,0.0,2021-03-14,0
290.0,193.0,0.0,2021-03-15,0
290.0,0.0,0.0,2021-03-15,0
