truth,pred,pred_sir,fecha,xprice
1825.0,1981.211300808401,1958.9042334856717,2020-12-28,37
1572.0,1944.0,1621.0,2020-12-29,37
2503.0,3309.0,3145.0,2020-12-30,37
3485.0,2688.0,2909.0,2020-12-31,37
3258.0,2181.0,2218.0,2021-01-01,37
2808.0,1120.0,1022.0,2021-01-02,37
1240.0,1491.0,1096.0,2021-01-03,37
1424.0,1126.0,0.0,2021-01-04,37
1189.0,2166.0,904.0,2021-01-05,37
2046.0,2831.0,2456.0,2021-01-06,37
2801.0,2391.0,2252.0,2021-01-07,37
2301.0,2068.0,1593.0,2021-01-08,37
1970.0,595.0,428.0,2021-01-09,37
1704.0,1239.0,532.0,2021-01-10,37
1460.0,1552.3160196617796,1580.1436556024228,2021-01-11,37
1460.0,1394.6904485992186,1421.9008737207778,2021-01-11,37
631.0,2126.0,1586.0,2021-01-12,37
631.0,1381.0,1586.0,2021-01-12,37
1208.0,2368.0,1948.0,2021-01-13,37
1208.0,3032.0,1948.0,2021-01-13,37
1778.0,1329.0,1775.0,2021-01-14,37
1778.0,2424.0,1775.0,2021-01-14,37
1285.0,1185.0,1146.0,2021-01-15,37
1285.0,2076.0,1146.0,2021-01-15,37
1185.0,1027.0,9.0,2021-01-16,37
1185.0,1794.0,9.0,2021-01-16,37
1145.0,873.0,140.0,2021-01-17,37
1145.0,1535.0,140.0,2021-01-17,37
778.0,763.0,0.0,2021-01-18,37
778.0,382.0,0.0,2021-01-18,37
