truth,pred,pred_sir,fecha,xprice
0.0,0.0,0.0,2021-02-08,0
0.0,0.0,0.0,2021-02-08,0
371.0,122.0,0.0,2021-02-09,0
371.0,118.0,0.0,2021-02-09,0
155.0,168.0,117.0,2021-02-10,0
155.0,111.0,117.0,2021-02-10,0
233.0,161.0,26.0,2021-02-11,0
233.0,106.0,26.0,2021-02-11,0
167.0,145.0,18.0,2021-02-12,0
167.0,97.0,18.0,2021-02-12,0
148.0,0.0,0.0,2021-02-13,0
148.0,5.0,0.0,2021-02-13,0
0.0,0.0,0.0,2021-02-14,0
0.0,0.0,0.0,2021-02-14,0
0.0,371.0,0.0,2021-02-15,0
0.0,164.0,0.0,2021-02-15,0
209.0,62.0,61.0,2021-02-16,0
0.0,198.0,88.0,2021-02-17,0
92.0,55.0,86.0,2021-02-18,0
62.0,116.0,77.0,2021-02-19,0
35.0,0.0,0.0,2021-02-20,0
0.0,0.0,0.0,2021-02-21,0
0.0,0.0,0.0,2021-02-22,0
0.0,0.0,0.0,2021-02-22,0
267.0,0.0,22.0,2021-02-23,0
267.0,0.0,22.0,2021-02-23,0
50.0,92.0,53.0,2021-02-24,0
50.0,3.0,53.0,2021-02-24,0
202.0,59.0,148.0,2021-02-25,0
202.0,27.0,148.0,2021-02-25,0
60.0,19.0,50.0,2021-02-26,0
60.0,16.0,50.0,2021-02-26,0
112.0,0.0,0.0,2021-02-27,0
112.0,0.0,0.0,2021-02-27,0
0.0,0.0,0.0,2021-02-28,0
0.0,0.0,0.0,2021-02-28,0
0.0,267.0,0.0,2021-03-01,0
0.0,103.0,0.0,2021-03-01,0
