truth,pred,pred_sir,fecha,xprice
4125.0,3956.6108805109207,3962.7158351712246,2021-02-22,0
4125.0,4006.108552578716,4380.999217273166,2021-02-22,0
3797.0,1453.0,0.0,2021-02-23,0
3797.0,1615.0,0.0,2021-02-23,0
4020.0,2910.0,373.0,2021-02-24,0
4020.0,944.0,373.0,2021-02-24,0
4647.0,3188.0,2122.0,2021-02-25,0
4647.0,1908.0,2122.0,2021-02-25,0
4604.0,2762.0,906.0,2021-02-26,0
4604.0,1168.0,906.0,2021-02-26,0
4419.0,3684.0,1075.0,2021-02-27,0
4419.0,573.0,1075.0,2021-02-27,0
4411.0,3716.0,0.0,2021-02-28,0
4411.0,152.0,0.0,2021-02-28,0
3620.0,3634.0,0.0,2021-03-01,0
3620.0,1216.0,0.0,2021-03-01,0
3907.0,2680.0,0.0,2021-03-02,0
4781.0,1698.0,85.0,2021-03-03,0
3759.0,2733.0,690.0,2021-03-04,0
4008.0,1410.0,960.0,2021-03-05,0
4615.0,2860.0,1480.0,2021-03-06,0
4063.0,478.0,1382.0,2021-03-07,0
3587.0,3642.6631305970986,3282.303920552004,2021-03-08,0
3587.0,3284.4337519179426,3494.661253828265,2021-03-08,0
4181.0,4781.0,85.0,2021-03-09,0
4181.0,0.0,85.0,2021-03-09,0
4879.0,3759.0,0.0,2021-03-10,0
4879.0,0.0,0.0,2021-03-10,0
4683.0,4008.0,0.0,2021-03-11,0
4683.0,0.0,0.0,2021-03-11,0
5376.0,4615.0,2482.0,2021-03-12,0
5376.0,0.0,2482.0,2021-03-12,0
5685.0,4063.0,937.0,2021-03-13,0
5685.0,0.0,937.0,2021-03-13,0
5289.0,3587.0,929.0,2021-03-14,0
5289.0,0.0,929.0,2021-03-14,0
5236.0,4181.0,0.0,2021-03-15,0
5236.0,0.0,0.0,2021-03-15,0
