truth,pred,pred_sir,fecha,xprice
251.0,250.48218260070038,232.51070154708574,2021-04-05,0
251.0,245.8300860722372,261.260957277939,2021-04-05,0
269.0,999.0,526.0,2021-04-06,0
269.0,0.0,526.0,2021-04-06,0
591.0,807.0,636.0,2021-04-07,0
591.0,0.0,636.0,2021-04-07,0
614.0,624.0,331.0,2021-04-08,0
614.0,0.0,331.0,2021-04-08,0
564.0,562.0,256.0,2021-04-09,0
564.0,0.0,256.0,2021-04-09,0
450.0,625.0,64.0,2021-04-10,0
450.0,0.0,64.0,2021-04-10,0
0.0,251.0,0.0,2021-04-11,0
0.0,0.0,0.0,2021-04-11,0
497.0,269.0,0.0,2021-04-12,0
497.0,0.0,0.0,2021-04-12,0
497.0,591.0,497.0,2021-04-13,0
581.0,0.0,312.0,2021-04-14,0
454.0,564.0,125.0,2021-04-15,0
475.0,0.0,59.0,2021-04-16,0
354.0,0.0,138.0,2021-04-17,0
269.0,497.0,42.0,2021-04-18,0
57.0,54.54769493431254,52.48546408399499,2021-04-19,0
57.0,61.65004241562116,59.383179231897216,2021-04-19,0
209.0,0.0,295.0,2021-04-20,0
209.0,581.0,295.0,2021-04-20,0
9.0,0.0,138.0,2021-04-21,0
9.0,454.0,138.0,2021-04-21,0
500.0,0.0,0.0,2021-04-22,0
500.0,475.0,0.0,2021-04-22,0
146.0,0.0,0.0,2021-04-23,0
146.0,354.0,0.0,2021-04-23,0
164.0,0.0,18.0,2021-04-24,0
164.0,269.0,18.0,2021-04-24,0
15.0,0.0,261.0,2021-04-25,0
15.0,57.0,261.0,2021-04-25,0
0.0,73.0,678.0,2021-04-26,0
0.0,0.0,678.0,2021-04-26,0
