truth,pred,pred_sir,fecha,xprice
4509.0,4346.5262014457285,4235.259504424136,2021-01-25,0
4509.0,4663.683676943361,4818.293318694498,2021-01-25,0
2673.0,5102.0,5711.0,2021-01-26,0
2673.0,3110.0,5711.0,2021-01-26,0
4613.0,7401.0,12530.0,2021-01-27,0
4613.0,4491.0,12530.0,2021-01-27,0
6723.0,7588.0,10654.0,2021-01-28,0
6723.0,4437.0,10654.0,2021-01-28,0
7149.0,5093.0,4682.0,2021-01-29,0
7149.0,7245.0,4682.0,2021-01-29,0
6153.0,7237.0,9441.0,2021-01-30,0
6153.0,3798.0,9441.0,2021-01-30,0
5864.0,4943.0,7901.0,2021-01-31,0
5864.0,2746.0,7901.0,2021-01-31,0
4671.0,2976.0,0.0,2021-02-01,0
4671.0,1599.0,0.0,2021-02-01,0
2435.0,4036.0,1046.0,2021-02-02,0
4264.0,5271.0,3358.0,2021-02-03,0
6738.0,5254.0,3516.0,2021-02-04,0
6423.0,4234.0,3304.0,2021-02-05,0
5985.0,4295.0,3241.0,2021-02-06,0
5818.0,3053.0,1572.0,2021-02-07,0
4622.0,4174.82407785336,4754.0074401351885,2021-02-08,0
4622.0,4569.191823960774,4989.992320839384,2021-02-08,0
2361.0,3640.0,0.0,2021-02-09,0
2361.0,1917.0,0.0,2021-02-09,0
3905.0,5993.0,2290.0,2021-02-10,0
3905.0,2858.0,2290.0,2021-02-10,0
6893.0,5306.0,2521.0,2021-02-11,0
6893.0,2983.0,2521.0,2021-02-11,0
6931.0,4814.0,2377.0,2021-02-12,0
6931.0,2851.0,2377.0,2021-02-12,0
6286.0,3952.0,3668.0,2021-02-13,0
6286.0,4231.0,3668.0,2021-02-13,0
6519.0,2909.0,769.0,2021-02-14,0
6519.0,2689.0,769.0,2021-02-14,0
5260.0,1253.0,0.0,2021-02-15,0
5260.0,1519.0,0.0,2021-02-15,0
