truth,pred,pred_sir,fecha,xprice
444.0,448.16189427800316,429.8009462558211,2021-03-22,200
444.0,405.691398926145,419.9269948555262,2021-03-22,200
250.0,0.0,0.0,2021-03-23,200
250.0,385.0,0.0,2021-03-23,200
424.0,0.0,0.0,2021-03-24,200
424.0,656.0,0.0,2021-03-24,200
543.0,0.0,0.0,2021-03-25,200
543.0,428.0,0.0,2021-03-25,200
383.0,0.0,0.0,2021-03-26,200
383.0,508.0,0.0,2021-03-26,200
437.0,0.0,172.0,2021-03-27,200
437.0,424.0,172.0,2021-03-27,200
265.0,0.0,237.0,2021-03-28,200
265.0,444.0,237.0,2021-03-28,200
306.0,0.0,0.0,2021-03-29,200
306.0,250.0,0.0,2021-03-29,200
308.0,58.0,0.0,2021-03-30,200
383.0,458.0,218.0,2021-03-31,200
620.0,0.0,58.0,2021-04-01,200
590.0,437.0,173.0,2021-04-02,200
539.0,0.0,100.0,2021-04-03,200
258.0,306.0,126.0,2021-04-04,200
160.0,155.4554859795583,157.92454356852255,2021-04-05,200
160.0,162.90965521707423,167.1165285983436,2021-04-05,200
158.0,0.0,0.0,2021-04-06,200
158.0,383.0,0.0,2021-04-06,200
865.0,0.0,351.0,2021-04-07,200
865.0,620.0,351.0,2021-04-07,200
628.0,0.0,0.0,2021-04-08,200
628.0,590.0,0.0,2021-04-08,200
532.0,0.0,95.0,2021-04-09,200
532.0,539.0,95.0,2021-04-09,200
580.0,0.0,33.0,2021-04-10,200
580.0,258.0,33.0,2021-04-10,200
476.0,0.0,69.0,2021-04-11,200
476.0,160.0,69.0,2021-04-11,200
507.0,0.0,0.0,2021-04-12,200
507.0,158.0,0.0,2021-04-12,200
