truth,pred,pred_sir,fecha,xprice
0.0,0.0,0.0,2021-03-22,200
0.0,0.0,0.0,2021-03-22,200
3605.0,0.0,0.0,2021-03-23,200
3605.0,1408.0,0.0,2021-03-23,200
1799.0,0.0,0.0,2021-03-24,200
1799.0,1777.0,0.0,2021-03-24,200
1955.0,0.0,93.0,2021-03-25,200
1955.0,1675.0,93.0,2021-03-25,200
1985.0,0.0,322.0,2021-03-26,200
1985.0,1664.0,322.0,2021-03-26,200
1987.0,0.0,0.0,2021-03-27,200
1987.0,0.0,0.0,2021-03-27,200
0.0,0.0,0.0,2021-03-28,200
0.0,0.0,0.0,2021-03-28,200
0.0,3605.0,0.0,2021-03-29,200
0.0,0.0,0.0,2021-03-29,200
4506.0,1799.0,497.0,2021-03-30,200
1858.0,0.0,945.0,2021-03-31,200
2340.0,1985.0,833.0,2021-04-01,200
1904.0,0.0,842.0,2021-04-02,200
2180.0,0.0,0.0,2021-04-03,200
0.0,0.0,0.0,2021-04-04,200
0.0,0.0,0.0,2021-04-05,200
0.0,0.0,0.0,2021-04-05,200
0.0,1858.0,89.0,2021-04-06,200
0.0,0.0,89.0,2021-04-06,200
4862.0,2340.0,1728.0,2021-04-07,200
4862.0,0.0,1728.0,2021-04-07,200
2245.0,1904.0,516.0,2021-04-08,200
2245.0,0.0,516.0,2021-04-08,200
2386.0,2180.0,564.0,2021-04-09,200
2386.0,0.0,564.0,2021-04-09,200
2458.0,0.0,0.0,2021-04-10,200
2458.0,0.0,0.0,2021-04-10,200
0.0,0.0,0.0,2021-04-11,200
0.0,0.0,0.0,2021-04-11,200
0.0,0.0,0.0,2021-04-12,200
0.0,0.0,0.0,2021-04-12,200
