truth,pred,pred_sir,fecha,xprice
48200.0,49251.66517617577,45164.52198879579,2021-02-22,0
48200.0,43439.80091779829,43469.50210287714,2021-02-22,0
53592.0,0.0,0.0,2021-02-23,0
53592.0,52862.0,0.0,2021-02-23,0
66656.0,0.0,3485.0,2021-02-24,0
66656.0,60567.0,3485.0,2021-02-24,0
66025.0,0.0,29775.0,2021-02-25,0
66025.0,61185.0,29775.0,2021-02-25,0
66566.0,0.0,29237.0,2021-02-26,0
66566.0,62804.0,29237.0,2021-02-26,0
64020.0,0.0,24627.0,2021-02-27,0
64020.0,61979.0,24627.0,2021-02-27,0
59237.0,0.0,6970.0,2021-02-28,0
59237.0,48200.0,6970.0,2021-02-28,0
44635.0,0.0,0.0,2021-03-01,0
44635.0,53592.0,0.0,2021-03-01,0
47591.0,0.0,0.0,2021-03-02,0
53702.0,66025.0,0.0,2021-03-03,0
60619.0,0.0,8111.0,2021-03-04,0
60827.0,64020.0,17875.0,2021-03-05,0
60354.0,0.0,23325.0,2021-03-06,0
54300.0,44635.0,12177.0,2021-03-07,0
36940.0,37177.098718962945,40211.254277838096,2021-03-08,0
36940.0,38006.07825971595,38523.24726441818,2021-03-08,0
42631.0,0.0,0.0,2021-03-09,0
42631.0,53702.0,0.0,2021-03-09,0
50720.0,0.0,0.0,2021-03-10,0
50720.0,60619.0,0.0,2021-03-10,0
50429.0,0.0,0.0,2021-03-11,0
50429.0,60827.0,0.0,2021-03-11,0
51242.0,0.0,28859.0,2021-03-12,0
51242.0,60354.0,28859.0,2021-03-12,0
49234.0,0.0,15294.0,2021-03-13,0
49234.0,54300.0,15294.0,2021-03-13,0
42353.0,0.0,5587.0,2021-03-14,0
42353.0,36940.0,5587.0,2021-03-14,0
29392.0,0.0,0.0,2021-03-15,0
29392.0,42631.0,0.0,2021-03-15,0
