mae,trial,mes
2118.58,1.0,0.0
2584.47,1.0,1.0
2272.71,1.0,2.0
810.49,1.0,3.0
1598.18,1.0,4.0
1952.16,1.0,5.0
1725.55,1.0,6.0
2456.73,1.0,7.0
2785.33,1.0,8.0
2888.83,1.0,9.0
2048.75,1.0,10.0
1214.41,1.0,11.0
1595.49,1.0,12.0
1913.55,1.0,13.0
1972.85,1.0,14.0
2400.21,1.0,15.0
2602.68,2.0,0.0
1399.01,2.0,1.0
731.19,2.0,2.0
1112.36,2.0,3.0
1458.95,2.0,4.0
1048.77,2.0,5.0
1503.15,2.0,6.0
2243.53,2.0,7.0
2778.94,2.0,8.0
1657.9,2.0,9.0
1398.97,2.0,10.0
1483.71,2.0,11.0
1052.04,2.0,12.0
1371.17,2.0,13.0
1958.67,2.0,14.0
2433.07,2.0,15.0
2928.45,3.0,0.0
1063.61,3.0,1.0
2123.89,3.0,2.0
1666.92,3.0,3.0
1362.83,3.0,4.0
1275.04,3.0,5.0
2107.55,3.0,6.0
3416.15,3.0,7.0
2577.59,3.0,8.0
2672.99,3.0,9.0
1327.41,3.0,10.0
1202.01,3.0,11.0
1113.25,3.0,12.0
1437.28,3.0,13.0
2513.67,3.0,14.0
2383.78,3.0,15.0
2030.61,4.0,0.0
2427.14,4.0,1.0
2169.47,4.0,2.0
1612.39,4.0,3.0
1123.29,4.0,4.0
1293.37,4.0,5.0
2019.68,4.0,6.0
2089.64,4.0,7.0
3532.04,4.0,8.0
2021.42,4.0,9.0
1308.17,4.0,10.0
1145.06,4.0,11.0
1151.2,4.0,12.0
1410.68,4.0,13.0
2453.48,4.0,14.0
2358.29,4.0,15.0
1513.33,5.0,0.0
6607.43,5.0,1.0
1107.08,5.0,2.0
705.54,5.0,3.0
1005.12,5.0,4.0
1323.71,5.0,5.0
2394.02,5.0,6.0
2667.05,5.0,7.0
2073.85,5.0,8.0
2510.24,5.0,9.0
1271.3,5.0,10.0
1321.2,5.0,11.0
1188.75,5.0,12.0
1733.95,5.0,13.0
1978.53,5.0,14.0
2721.92,5.0,15.0
2241.68,6.0,0.0
1038.69,6.0,1.0
1833.68,6.0,2.0
1620.68,6.0,3.0
1682.64,6.0,4.0
1934.53,6.0,5.0
1582.44,6.0,6.0
2052.29,6.0,7.0
2973.25,6.0,8.0
1680.61,6.0,9.0
1294.28,6.0,10.0
1213.22,6.0,11.0
