date,location,vaccine,total_vaccinations
2021-01-01,Italy,Pfizer/BioNTech,39079
2021-01-01,Italy,Johnson&Johnson,2
2021-01-01,Italy,Oxford/AstraZeneca,0
2021-01-02,Italy,Pfizer/BioNTech,35858
2021-01-02,Italy,Johnson&Johnson,2
2021-01-02,Italy,Oxford/AstraZeneca,0
2021-01-03,Italy,Pfizer/BioNTech,69633
2021-01-03,Italy,Johnson&Johnson,2
2021-01-03,Italy,Oxford/AstraZeneca,0
2021-01-04,Italy,Pfizer/BioNTech,80270
2021-01-04,Italy,Johnson&Johnson,2
2021-01-04,Italy,Oxford/AstraZeneca,0
2021-01-05,Italy,Pfizer/BioNTech,65182
2021-01-05,Italy,Johnson&Johnson,2
2021-01-05,Italy,Oxford/AstraZeneca,0
2021-01-06,Italy,Pfizer/BioNTech,92657
2021-01-06,Italy,Johnson&Johnson,2
2021-01-06,Italy,Oxford/AstraZeneca,0
2021-01-07,Italy,Pfizer/BioNTech,96909
2021-01-07,Italy,Johnson&Johnson,0
2021-01-07,Italy,Oxford/AstraZeneca,0
2021-01-08,Italy,Pfizer/BioNTech,88226
2021-01-08,Italy,Johnson&Johnson,0
2021-01-08,Italy,Oxford/AstraZeneca,0
2021-01-09,Italy,Pfizer/BioNTech,60938
2021-01-09,Italy,Johnson&Johnson,0
2021-01-09,Italy,Oxford/AstraZeneca,0
2021-01-10,Italy,Pfizer/BioNTech,82016
2021-01-10,Italy,Johnson&Johnson,0
2021-01-10,Italy,Oxford/AstraZeneca,0
2021-01-11,Italy,Pfizer/BioNTech,83356
2021-01-11,Italy,Johnson&Johnson,0
2021-01-11,Italy,Oxford/AstraZeneca,0
2021-01-12,Italy,Pfizer/BioNTech,95375
2021-01-12,Italy,Johnson&Johnson,0
2021-01-12,Italy,Oxford/AstraZeneca,0
2021-01-13,Italy,Pfizer/BioNTech,94280
2021-01-13,Italy,Johnson&Johnson,0
2021-01-13,Italy,Oxford/AstraZeneca,0
2021-01-14,Italy,Pfizer/BioNTech,89858
2021-01-14,Italy,Johnson&Johnson,0
2021-01-14,Italy,Oxford/AstraZeneca,0
2021-01-15,Italy,Pfizer/BioNTech,65054
2021-01-15,Italy,Johnson&Johnson,0
2021-01-15,Italy,Oxford/AstraZeneca,0
2021-01-16,Italy,Pfizer/BioNTech,37233
2021-01-16,Italy,Johnson&Johnson,0
2021-01-16,Italy,Oxford/AstraZeneca,0
2021-01-17,Italy,Pfizer/BioNTech,43424
2021-01-17,Italy,Johnson&Johnson,0
2021-01-17,Italy,Oxford/AstraZeneca,0
2021-01-18,Italy,Pfizer/BioNTech,31199
2021-01-18,Italy,Johnson&Johnson,0
2021-01-18,Italy,Oxford/AstraZeneca,1
2021-01-19,Italy,Pfizer/BioNTech,27845
2021-01-19,Italy,Johnson&Johnson,0
2021-01-19,Italy,Oxford/AstraZeneca,1
2021-01-20,Italy,Pfizer/BioNTech,33478
2021-01-20,Italy,Johnson&Johnson,0
2021-01-20,Italy,Oxford/AstraZeneca,1
2021-01-21,Italy,Pfizer/BioNTech,25373
2021-01-21,Italy,Johnson&Johnson,0
2021-01-21,Italy,Oxford/AstraZeneca,1
2021-01-22,Italy,Pfizer/BioNTech,38352
2021-01-22,Italy,Johnson&Johnson,0
2021-01-22,Italy,Oxford/AstraZeneca,0
2021-01-23,Italy,Pfizer/BioNTech,33257
2021-01-23,Italy,Johnson&Johnson,0
2021-01-23,Italy,Oxford/AstraZeneca,0
2021-01-24,Italy,Pfizer/BioNTech,68949
2021-01-24,Italy,Johnson&Johnson,0
2021-01-24,Italy,Oxford/AstraZeneca,0
2021-01-25,Italy,Pfizer/BioNTech,80127
2021-01-25,Italy,Johnson&Johnson,0
2021-01-25,Italy,Oxford/AstraZeneca,0
2021-01-26,Italy,Pfizer/BioNTech,70433
2021-01-26,Italy,Johnson&Johnson,0
2021-01-26,Italy,Oxford/AstraZeneca,0
2021-01-27,Italy,Pfizer/BioNTech,93337
2021-01-27,Italy,Johnson&Johnson,0
2021-01-27,Italy,Oxford/AstraZeneca,0
2021-01-28,Italy,Pfizer/BioNTech,97967
2021-01-28,Italy,Johnson&Johnson,0
2021-01-28,Italy,Oxford/AstraZeneca,0
2021-01-29,Italy,Pfizer/BioNTech,90316
2021-01-29,Italy,Johnson&Johnson,0
2021-01-29,Italy,Oxford/AstraZeneca,0
2021-01-30,Italy,Pfizer/BioNTech,59802
2021-01-30,Italy,Johnson&Johnson,0
2021-01-30,Italy,Oxford/AstraZeneca,1
2021-01-31,Italy,Pfizer/BioNTech,85709
2021-01-31,Italy,Johnson&Johnson,0
2021-01-31,Italy,Oxford/AstraZeneca,1
2021-02-01,Italy,Pfizer/BioNTech,87456
2021-02-01,Italy,Johnson&Johnson,0
2021-02-01,Italy,Oxford/AstraZeneca,26
2021-02-02,Italy,Pfizer/BioNTech,98787
2021-02-02,Italy,Johnson&Johnson,2
2021-02-02,Italy,Oxford/AstraZeneca,1
2021-02-03,Italy,Pfizer/BioNTech,107364
2021-02-03,Italy,Johnson&Johnson,2
2021-02-03,Italy,Oxford/AstraZeneca,2
2021-02-04,Italy,Pfizer/BioNTech,104951
2021-02-04,Italy,Johnson&Johnson,0
2021-02-04,Italy,Oxford/AstraZeneca,3
2021-02-05,Italy,Pfizer/BioNTech,75981
2021-02-05,Italy,Johnson&Johnson,0
2021-02-05,Italy,Oxford/AstraZeneca,2
2021-02-06,Italy,Pfizer/BioNTech,41526
2021-02-06,Italy,Johnson&Johnson,1
2021-02-06,Italy,Oxford/AstraZeneca,2
2021-02-07,Italy,Pfizer/BioNTech,64573
2021-02-07,Italy,Johnson&Johnson,1
2021-02-07,Italy,Oxford/AstraZeneca,1
2021-02-08,Italy,Pfizer/BioNTech,63761
2021-02-08,Italy,Johnson&Johnson,0
2021-02-08,Italy,Oxford/AstraZeneca,24
2021-02-09,Italy,Pfizer/BioNTech,70360
2021-02-09,Italy,Johnson&Johnson,0
2021-02-09,Italy,Oxford/AstraZeneca,3
2021-02-10,Italy,Pfizer/BioNTech,68937
2021-02-10,Italy,Johnson&Johnson,0
2021-02-10,Italy,Oxford/AstraZeneca,2903
2021-02-11,Italy,Pfizer/BioNTech,65512
2021-02-11,Italy,Johnson&Johnson,0
2021-02-11,Italy,Oxford/AstraZeneca,4760
2021-02-12,Italy,Pfizer/BioNTech,43689
2021-02-12,Italy,Johnson&Johnson,0
2021-02-12,Italy,Oxford/AstraZeneca,5310
2021-02-13,Italy,Pfizer/BioNTech,21349
2021-02-13,Italy,Johnson&Johnson,0
2021-02-13,Italy,Oxford/AstraZeneca,7160
2021-02-14,Italy,Pfizer/BioNTech,51839
2021-02-14,Italy,Johnson&Johnson,0
2021-02-14,Italy,Oxford/AstraZeneca,6932
2021-02-15,Italy,Pfizer/BioNTech,55267
2021-02-15,Italy,Johnson&Johnson,0
2021-02-15,Italy,Oxford/AstraZeneca,9350
2021-02-16,Italy,Pfizer/BioNTech,60090
2021-02-16,Italy,Johnson&Johnson,0
2021-02-16,Italy,Oxford/AstraZeneca,12831
2021-02-17,Italy,Pfizer/BioNTech,65810
2021-02-17,Italy,Johnson&Johnson,0
2021-02-17,Italy,Oxford/AstraZeneca,17588
2021-02-18,Italy,Pfizer/BioNTech,66797
2021-02-18,Italy,Johnson&Johnson,0
2021-02-18,Italy,Oxford/AstraZeneca,19445
2021-02-19,Italy,Pfizer/BioNTech,52851
2021-02-19,Italy,Johnson&Johnson,0
2021-02-19,Italy,Oxford/AstraZeneca,19295
2021-02-20,Italy,Pfizer/BioNTech,35083
2021-02-20,Italy,Johnson&Johnson,0
2021-02-20,Italy,Oxford/AstraZeneca,10687
2021-02-21,Italy,Pfizer/BioNTech,76613
2021-02-21,Italy,Johnson&Johnson,0
2021-02-21,Italy,Oxford/AstraZeneca,23467
2021-02-22,Italy,Pfizer/BioNTech,76764
2021-02-22,Italy,Johnson&Johnson,0
2021-02-22,Italy,Oxford/AstraZeneca,24879
2021-02-23,Italy,Pfizer/BioNTech,88745
2021-02-23,Italy,Johnson&Johnson,0
2021-02-23,Italy,Oxford/AstraZeneca,27473
2021-02-24,Italy,Pfizer/BioNTech,90831
2021-02-24,Italy,Johnson&Johnson,0
2021-02-24,Italy,Oxford/AstraZeneca,31879
2021-02-25,Italy,Pfizer/BioNTech,92541
2021-02-25,Italy,Johnson&Johnson,0
2021-02-25,Italy,Oxford/AstraZeneca,40331
2021-02-26,Italy,Pfizer/BioNTech,75164
2021-02-26,Italy,Johnson&Johnson,0
2021-02-26,Italy,Oxford/AstraZeneca,44931
2021-02-27,Italy,Pfizer/BioNTech,48998
2021-02-27,Italy,Johnson&Johnson,0
2021-02-27,Italy,Oxford/AstraZeneca,26791
2021-02-28,Italy,Pfizer/BioNTech,88612
2021-02-28,Italy,Johnson&Johnson,0
2021-02-28,Italy,Oxford/AstraZeneca,40549
2021-03-01,Italy,Pfizer/BioNTech,98499
2021-03-01,Italy,Johnson&Johnson,1
2021-03-01,Italy,Oxford/AstraZeneca,56583
2021-03-02,Italy,Pfizer/BioNTech,119636
2021-03-02,Italy,Johnson&Johnson,0
2021-03-02,Italy,Oxford/AstraZeneca,58454
2021-03-03,Italy,Pfizer/BioNTech,126403
2021-03-03,Italy,Johnson&Johnson,0
2021-03-03,Italy,Oxford/AstraZeneca,61413
2021-03-04,Italy,Pfizer/BioNTech,127746
2021-03-04,Italy,Johnson&Johnson,0
2021-03-04,Italy,Oxford/AstraZeneca,66960
2021-03-05,Italy,Pfizer/BioNTech,101305
2021-03-05,Italy,Johnson&Johnson,0
2021-03-05,Italy,Oxford/AstraZeneca,64011
2021-03-06,Italy,Pfizer/BioNTech,58346
2021-03-06,Italy,Johnson&Johnson,1
2021-03-06,Italy,Oxford/AstraZeneca,36722
2021-03-07,Italy,Pfizer/BioNTech,109331
2021-03-07,Italy,Johnson&Johnson,6
