date,location,vaccine,total_vaccinations
2021-01-01,Lithuania,Moderna,69
2021-01-02,Lithuania,Moderna,69
2021-01-03,Lithuania,Moderna,69
2021-01-04,Lithuania,Moderna,69
2021-01-05,Lithuania,Moderna,69
2021-01-06,Lithuania,Moderna,69
2021-01-07,Lithuania,Moderna,69
2021-01-08,Lithuania,Moderna,69
2021-01-09,Lithuania,Moderna,69
2021-01-10,Lithuania,Moderna,69
2021-01-11,Lithuania,Moderna,69
2021-01-12,Lithuania,Moderna,69
2021-01-13,Lithuania,Moderna,69
2021-01-14,Lithuania,Moderna,69
2021-01-15,Lithuania,Moderna,190
2021-01-16,Lithuania,Moderna,190
2021-01-17,Lithuania,Moderna,190
2021-01-18,Lithuania,Moderna,190
2021-01-19,Lithuania,Moderna,190
2021-01-20,Lithuania,Moderna,190
2021-01-21,Lithuania,Moderna,190
2021-01-22,Lithuania,Moderna,119
2021-01-23,Lithuania,Moderna,119
2021-01-24,Lithuania,Moderna,119
2021-01-25,Lithuania,Moderna,119
2021-01-26,Lithuania,Moderna,119
2021-01-27,Lithuania,Moderna,119
2021-01-28,Lithuania,Moderna,119
2021-01-29,Lithuania,Moderna,119
2021-01-30,Lithuania,Moderna,119
2021-01-31,Lithuania,Moderna,119
2021-02-01,Lithuania,Moderna,119
2021-02-02,Lithuania,Moderna,119
2021-02-03,Lithuania,Moderna,119
2021-02-04,Lithuania,Moderna,119
2021-02-05,Lithuania,Moderna,242
2021-02-06,Lithuania,Moderna,242
2021-02-07,Lithuania,Moderna,242
2021-02-08,Lithuania,Moderna,242
2021-02-09,Lithuania,Moderna,242
2021-02-10,Lithuania,Moderna,242
2021-02-11,Lithuania,Moderna,242
2021-02-12,Lithuania,Moderna,517
2021-02-13,Lithuania,Moderna,517
2021-02-14,Lithuania,Moderna,517
2021-02-15,Lithuania,Moderna,517
2021-02-16,Lithuania,Moderna,517
2021-02-17,Lithuania,Moderna,517
2021-02-18,Lithuania,Moderna,517
2021-02-19,Lithuania,Moderna,418
2021-02-20,Lithuania,Moderna,418
2021-02-21,Lithuania,Moderna,418
2021-02-22,Lithuania,Moderna,418
2021-02-23,Lithuania,Moderna,418
2021-02-24,Lithuania,Moderna,418
2021-02-25,Lithuania,Moderna,418
2021-02-26,Lithuania,Moderna,1276
2021-02-27,Lithuania,Moderna,1276
2021-02-28,Lithuania,Moderna,1276
2021-03-01,Lithuania,Moderna,1276
2021-03-02,Lithuania,Moderna,1276
2021-03-03,Lithuania,Moderna,1276
2021-03-04,Lithuania,Moderna,1276
2021-03-05,Lithuania,Moderna,271
2021-03-06,Lithuania,Moderna,271
2021-03-07,Lithuania,Moderna,271
2021-03-08,Lithuania,Moderna,271
2021-03-09,Lithuania,Moderna,271
2021-03-10,Lithuania,Moderna,271
2021-03-11,Lithuania,Moderna,271
2021-03-12,Lithuania,Moderna,470
2021-03-13,Lithuania,Moderna,470
2021-03-14,Lithuania,Moderna,470
2021-03-15,Lithuania,Moderna,470
2021-03-16,Lithuania,Moderna,470
2021-03-17,Lithuania,Moderna,470
2021-03-18,Lithuania,Moderna,470
2021-03-19,Lithuania,Moderna,1458
2021-03-20,Lithuania,Moderna,1458
2021-03-21,Lithuania,Moderna,1458
2021-03-22,Lithuania,Moderna,1458
2021-03-23,Lithuania,Moderna,1458
2021-03-24,Lithuania,Moderna,1458
2021-03-25,Lithuania,Moderna,1458
2021-03-26,Lithuania,Moderna,2435
2021-03-27,Lithuania,Moderna,2435
2021-03-28,Lithuania,Moderna,2435
2021-03-29,Lithuania,Moderna,2435
2021-03-30,Lithuania,Moderna,2435
2021-03-31,Lithuania,Moderna,2435
2021-04-01,Lithuania,Moderna,2435
2021-04-02,Lithuania,Moderna,844
2021-04-03,Lithuania,Moderna,844
2021-04-04,Lithuania,Moderna,844
2021-04-05,Lithuania,Moderna,844
2021-04-06,Lithuania,Moderna,844
