date,location,vaccine,total_vaccinations
2021-01-01,Luxembourg,Moderna,0
2021-01-02,Luxembourg,Moderna,0
2021-01-03,Luxembourg,Moderna,0
2021-01-04,Luxembourg,Moderna,0
2021-01-05,Luxembourg,Moderna,0
2021-01-06,Luxembourg,Moderna,0
2021-01-07,Luxembourg,Moderna,0
2021-01-08,Luxembourg,Moderna,0
2021-01-09,Luxembourg,Moderna,0
2021-01-10,Luxembourg,Moderna,0
2021-01-11,Luxembourg,Moderna,0
2021-01-12,Luxembourg,Moderna,0
2021-01-13,Luxembourg,Moderna,0
2021-01-14,Luxembourg,Moderna,0
2021-01-15,Luxembourg,Moderna,40
2021-01-16,Luxembourg,Moderna,40
2021-01-17,Luxembourg,Moderna,40
2021-01-18,Luxembourg,Moderna,40
2021-01-19,Luxembourg,Moderna,40
2021-01-20,Luxembourg,Moderna,40
2021-01-21,Luxembourg,Moderna,40
2021-01-22,Luxembourg,Moderna,19
2021-01-23,Luxembourg,Moderna,19
2021-01-24,Luxembourg,Moderna,19
2021-01-25,Luxembourg,Moderna,19
2021-01-26,Luxembourg,Moderna,19
2021-01-27,Luxembourg,Moderna,19
2021-01-28,Luxembourg,Moderna,19
2021-01-29,Luxembourg,Moderna,60
2021-01-30,Luxembourg,Moderna,60
2021-01-31,Luxembourg,Moderna,60
2021-02-01,Luxembourg,Moderna,60
2021-02-02,Luxembourg,Moderna,60
2021-02-03,Luxembourg,Moderna,60
2021-02-04,Luxembourg,Moderna,60
2021-02-05,Luxembourg,Moderna,27
2021-02-06,Luxembourg,Moderna,27
2021-02-07,Luxembourg,Moderna,27
2021-02-08,Luxembourg,Moderna,27
2021-02-09,Luxembourg,Moderna,27
2021-02-10,Luxembourg,Moderna,27
2021-02-11,Luxembourg,Moderna,27
2021-02-12,Luxembourg,Moderna,41
2021-02-13,Luxembourg,Moderna,41
2021-02-14,Luxembourg,Moderna,41
2021-02-15,Luxembourg,Moderna,41
2021-02-16,Luxembourg,Moderna,41
2021-02-17,Luxembourg,Moderna,41
2021-02-18,Luxembourg,Moderna,41
2021-02-19,Luxembourg,Moderna,45
2021-02-20,Luxembourg,Moderna,45
2021-02-21,Luxembourg,Moderna,45
2021-02-22,Luxembourg,Moderna,45
2021-02-23,Luxembourg,Moderna,45
2021-02-24,Luxembourg,Moderna,45
2021-02-25,Luxembourg,Moderna,45
2021-02-26,Luxembourg,Moderna,67
2021-02-27,Luxembourg,Moderna,67
2021-02-28,Luxembourg,Moderna,67
2021-03-01,Luxembourg,Moderna,67
2021-03-02,Luxembourg,Moderna,67
2021-03-03,Luxembourg,Moderna,67
2021-03-04,Luxembourg,Moderna,67
2021-03-05,Luxembourg,Moderna,70
2021-03-06,Luxembourg,Moderna,70
2021-03-07,Luxembourg,Moderna,70
2021-03-08,Luxembourg,Moderna,70
2021-03-09,Luxembourg,Moderna,70
2021-03-10,Luxembourg,Moderna,70
2021-03-11,Luxembourg,Moderna,70
2021-03-12,Luxembourg,Moderna,212
2021-03-13,Luxembourg,Moderna,212
2021-03-14,Luxembourg,Moderna,212
2021-03-15,Luxembourg,Moderna,212
2021-03-16,Luxembourg,Moderna,212
2021-03-17,Luxembourg,Moderna,212
2021-03-18,Luxembourg,Moderna,212
2021-03-19,Luxembourg,Moderna,29
2021-03-20,Luxembourg,Moderna,29
2021-03-21,Luxembourg,Moderna,29
2021-03-22,Luxembourg,Moderna,29
2021-03-23,Luxembourg,Moderna,29
2021-03-24,Luxembourg,Moderna,29
2021-03-25,Luxembourg,Moderna,29
2021-03-26,Luxembourg,Moderna,56
2021-03-27,Luxembourg,Moderna,56
2021-03-28,Luxembourg,Moderna,56
2021-03-29,Luxembourg,Moderna,56
2021-03-30,Luxembourg,Moderna,56
2021-03-31,Luxembourg,Moderna,56
2021-04-01,Luxembourg,Moderna,56
2021-04-02,Luxembourg,Moderna,355
2021-04-03,Luxembourg,Moderna,355
2021-04-04,Luxembourg,Moderna,355
2021-04-05,Luxembourg,Moderna,355
2021-04-06,Luxembourg,Moderna,355
2021-04-07,Luxembourg,Moderna,355
2021-04-08,Luxembourg,Moderna,355
2021-04-09,Luxembourg,Moderna,634
2021-04-10,Luxembourg,Moderna,634
2021-04-11,Luxembourg,Moderna,634
2021-04-12,Luxembourg,Moderna,634
2021-04-13,Luxembourg,Moderna,634
2021-04-14,Luxembourg,Moderna,634
2021-04-15,Luxembourg,Moderna,634
2021-04-16,Luxembourg,Moderna,79
2021-04-17,Luxembourg,Moderna,79
2021-04-18,Luxembourg,Moderna,79
2021-04-19,Luxembourg,Moderna,79
2021-04-20,Luxembourg,Moderna,79
2021-04-21,Luxembourg,Moderna,79
2021-04-22,Luxembourg,Moderna,79
2021-04-23,Luxembourg,Moderna,324
2021-04-24,Luxembourg,Moderna,324
2021-04-25,Luxembourg,Moderna,324
2021-04-26,Luxembourg,Moderna,324
2021-04-27,Luxembourg,Moderna,324
2021-04-28,Luxembourg,Moderna,324
2021-04-29,Luxembourg,Moderna,324
2021-04-30,Luxembourg,Moderna,413
2021-05-01,Luxembourg,Moderna,413
2021-05-02,Luxembourg,Moderna,413
2021-05-03,Luxembourg,Moderna,413
2021-05-04,Luxembourg,Moderna,413
2021-05-05,Luxembourg,Moderna,413
2021-05-06,Luxembourg,Moderna,413
2021-05-07,Luxembourg,Moderna,861
2021-05-08,Luxembourg,Moderna,861
2021-05-09,Luxembourg,Moderna,861
2021-05-10,Luxembourg,Moderna,861
2021-05-11,Luxembourg,Moderna,861
2021-05-12,Luxembourg,Moderna,861
2021-05-13,Luxembourg,Moderna,861
2021-05-14,Luxembourg,Moderna,881
2021-05-15,Luxembourg,Moderna,881
2021-05-16,Luxembourg,Moderna,881
2021-05-17,Luxembourg,Moderna,881
2021-05-18,Luxembourg,Moderna,881
2021-05-19,Luxembourg,Moderna,881
2021-05-20,Luxembourg,Moderna,881
2021-05-21,Luxembourg,Moderna,585
2021-05-22,Luxembourg,Moderna,585
2021-05-23,Luxembourg,Moderna,585
2021-05-24,Luxembourg,Moderna,585
2021-05-25,Luxembourg,Moderna,585
2021-05-26,Luxembourg,Moderna,585
2021-05-27,Luxembourg,Moderna,585
2021-05-28,Luxembourg,Moderna,117
2021-05-29,Luxembourg,Moderna,117
2021-05-30,Luxembourg,Moderna,117
2021-05-31,Luxembourg,Moderna,117
2021-06-01,Luxembourg,Moderna,117
2021-06-02,Luxembourg,Moderna,117
2021-06-03,Luxembourg,Moderna,117
2021-06-04,Luxembourg,Moderna,439
2021-06-05,Luxembourg,Moderna,439
2021-06-06,Luxembourg,Moderna,439
2021-06-07,Luxembourg,Moderna,439
2021-06-08,Luxembourg,Moderna,439
2021-06-09,Luxembourg,Moderna,439
2021-06-10,Luxembourg,Moderna,439
2021-06-11,Luxembourg,Moderna,800
2021-06-12,Luxembourg,Moderna,800
2021-06-13,Luxembourg,Moderna,800
2021-06-14,Luxembourg,Moderna,800
2021-06-15,Luxembourg,Moderna,800
2021-06-16,Luxembourg,Moderna,800
2021-06-17,Luxembourg,Moderna,800
2021-06-18,Luxembourg,Moderna,728
2021-06-19,Luxembourg,Moderna,728
2021-06-20,Luxembourg,Moderna,728
2021-06-21,Luxembourg,Moderna,728
2021-06-22,Luxembourg,Moderna,728
2021-06-23,Luxembourg,Moderna,728
2021-06-24,Luxembourg,Moderna,728
2021-06-25,Luxembourg,Moderna,837
2021-06-26,Luxembourg,Moderna,837
2021-06-27,Luxembourg,Moderna,837
2021-06-28,Luxembourg,Moderna,837
2021-06-29,Luxembourg,Moderna,837
2021-06-30,Luxembourg,Moderna,837
2021-07-01,Luxembourg,Moderna,837
2021-07-02,Luxembourg,Moderna,288
2021-07-03,Luxembourg,Moderna,288
2021-07-04,Luxembourg,Moderna,288
2021-07-05,Luxembourg,Moderna,288
2021-07-06,Luxembourg,Moderna,288
2021-07-07,Luxembourg,Moderna,288
2021-07-08,Luxembourg,Moderna,288
2021-07-09,Luxembourg,Moderna,207
2021-07-10,Luxembourg,Moderna,207
2021-07-11,Luxembourg,Moderna,207
2021-07-12,Luxembourg,Moderna,207
2021-07-13,Luxembourg,Moderna,207
2021-07-14,Luxembourg,Moderna,207
2021-07-15,Luxembourg,Moderna,207
2021-07-16,Luxembourg,Moderna,409
2021-07-17,Luxembourg,Moderna,409
2021-07-18,Luxembourg,Moderna,409
2021-07-19,Luxembourg,Moderna,409
2021-07-20,Luxembourg,Moderna,409
2021-07-21,Luxembourg,Moderna,409
2021-07-22,Luxembourg,Moderna,409
2021-07-23,Luxembourg,Moderna,765
2021-07-24,Luxembourg,Moderna,765
2021-07-25,Luxembourg,Moderna,765
2021-07-26,Luxembourg,Moderna,765
2021-07-27,Luxembourg,Moderna,765
2021-07-28,Luxembourg,Moderna,765
2021-07-29,Luxembourg,Moderna,765
2021-07-30,Luxembourg,Moderna,276
2021-07-31,Luxembourg,Moderna,276
2021-08-01,Luxembourg,Moderna,276
2021-08-02,Luxembourg,Moderna,276
2021-08-03,Luxembourg,Moderna,276
2021-08-04,Luxembourg,Moderna,276
2021-08-05,Luxembourg,Moderna,276
2021-08-06,Luxembourg,Moderna,179
2021-08-07,Luxembourg,Moderna,179
2021-08-08,Luxembourg,Moderna,179
2021-08-09,Luxembourg,Moderna,179
2021-08-10,Luxembourg,Moderna,179
2021-08-11,Luxembourg,Moderna,179
2021-08-12,Luxembourg,Moderna,179
2021-08-13,Luxembourg,Moderna,44
2021-08-14,Luxembourg,Moderna,44
2021-08-15,Luxembourg,Moderna,44
2021-08-16,Luxembourg,Moderna,44
2021-08-17,Luxembourg,Moderna,44
2021-08-18,Luxembourg,Moderna,44
2021-08-19,Luxembourg,Moderna,44
2021-08-20,Luxembourg,Moderna,19
2021-08-21,Luxembourg,Moderna,19
2021-08-22,Luxembourg,Moderna,19
2021-08-23,Luxembourg,Moderna,19
2021-08-24,Luxembourg,Moderna,19
2021-08-25,Luxembourg,Moderna,19
2021-08-26,Luxembourg,Moderna,19
2021-08-27,Luxembourg,Moderna,12
2021-08-28,Luxembourg,Moderna,12
2021-08-29,Luxembourg,Moderna,12
2021-08-30,Luxembourg,Moderna,12
2021-08-31,Luxembourg,Moderna,12
2021-09-01,Luxembourg,Moderna,12
2021-09-02,Luxembourg,Moderna,12
2021-09-03,Luxembourg,Moderna,8
2021-09-04,Luxembourg,Moderna,8
2021-09-05,Luxembourg,Moderna,8
2021-09-06,Luxembourg,Moderna,8
2021-09-07,Luxembourg,Moderna,8
2021-09-08,Luxembourg,Moderna,8
2021-09-09,Luxembourg,Moderna,8
2021-09-10,Luxembourg,Moderna,8
2021-09-11,Luxembourg,Moderna,8
2021-09-12,Luxembourg,Moderna,8
2021-09-13,Luxembourg,Moderna,8
2021-09-14,Luxembourg,Moderna,8
2021-09-15,Luxembourg,Moderna,8
2021-09-16,Luxembourg,Moderna,8
2021-09-17,Luxembourg,Moderna,5
2021-09-18,Luxembourg,Moderna,5
2021-09-19,Luxembourg,Moderna,5
2021-09-20,Luxembourg,Moderna,5
2021-09-21,Luxembourg,Moderna,5
2021-09-22,Luxembourg,Moderna,5
2021-09-23,Luxembourg,Moderna,5
2021-09-24,Luxembourg,Moderna,3
2021-09-25,Luxembourg,Moderna,3
2021-09-26,Luxembourg,Moderna,3
2021-09-27,Luxembourg,Moderna,3
2021-09-28,Luxembourg,Moderna,3
2021-09-29,Luxembourg,Moderna,3
2021-09-30,Luxembourg,Moderna,3
2021-10-01,Luxembourg,Moderna,3
2021-10-02,Luxembourg,Moderna,3
2021-10-03,Luxembourg,Moderna,3
2021-10-04,Luxembourg,Moderna,3
2021-10-05,Luxembourg,Moderna,3
2021-10-06,Luxembourg,Moderna,3
2021-10-07,Luxembourg,Moderna,3
2021-10-08,Luxembourg,Moderna,5
2021-10-09,Luxembourg,Moderna,5
2021-10-10,Luxembourg,Moderna,5
2021-10-11,Luxembourg,Moderna,5
2021-10-12,Luxembourg,Moderna,5
2021-10-13,Luxembourg,Moderna,5
2021-10-14,Luxembourg,Moderna,5
2021-10-15,Luxembourg,Moderna,15
2021-10-16,Luxembourg,Moderna,15
2021-10-17,Luxembourg,Moderna,15
2021-10-18,Luxembourg,Moderna,15
2021-10-19,Luxembourg,Moderna,15
2021-10-20,Luxembourg,Moderna,15
2021-10-21,Luxembourg,Moderna,15
2021-10-22,Luxembourg,Moderna,49
2021-10-23,Luxembourg,Moderna,49
2021-10-24,Luxembourg,Moderna,49
2021-10-25,Luxembourg,Moderna,49
2021-10-26,Luxembourg,Moderna,49
2021-10-27,Luxembourg,Moderna,49
2021-10-28,Luxembourg,Moderna,49
2021-10-29,Luxembourg,Moderna,59
2021-10-30,Luxembourg,Moderna,59
2021-10-31,Luxembourg,Moderna,59
2021-11-01,Luxembourg,Moderna,59
2021-11-02,Luxembourg,Moderna,59
2021-11-03,Luxembourg,Moderna,59
2021-11-04,Luxembourg,Moderna,59
2021-11-05,Luxembourg,Moderna,56
2021-11-06,Luxembourg,Moderna,56
2021-11-07,Luxembourg,Moderna,56
2021-11-08,Luxembourg,Moderna,56
2021-11-09,Luxembourg,Moderna,56
2021-11-10,Luxembourg,Moderna,56
2021-11-11,Luxembourg,Moderna,56
2021-11-12,Luxembourg,Moderna,40
2021-11-13,Luxembourg,Moderna,40
2021-11-14,Luxembourg,Moderna,40
2021-11-15,Luxembourg,Moderna,40
2021-11-16,Luxembourg,Moderna,40
2021-11-17,Luxembourg,Moderna,40
2021-11-18,Luxembourg,Moderna,40
2021-11-19,Luxembourg,Moderna,90
2021-11-20,Luxembourg,Moderna,90
2021-11-21,Luxembourg,Moderna,90
2021-11-22,Luxembourg,Moderna,90
2021-11-23,Luxembourg,Moderna,90
2021-11-24,Luxembourg,Moderna,90
2021-11-25,Luxembourg,Moderna,90
2021-11-26,Luxembourg,Moderna,2604
2021-11-27,Luxembourg,Moderna,2604
2021-11-28,Luxembourg,Moderna,2604
2021-11-29,Luxembourg,Moderna,2604
2021-11-30,Luxembourg,Moderna,2604
2021-12-01,Luxembourg,Moderna,2604
2021-12-02,Luxembourg,Moderna,2604
2021-12-03,Luxembourg,Moderna,3254
2021-12-04,Luxembourg,Moderna,3254
2021-12-05,Luxembourg,Moderna,3254
2021-12-06,Luxembourg,Moderna,3254
2021-12-07,Luxembourg,Moderna,3254
2021-12-08,Luxembourg,Moderna,3254
2021-12-09,Luxembourg,Moderna,3254
2021-12-10,Luxembourg,Moderna,4334
2021-12-11,Luxembourg,Moderna,4334
2021-12-12,Luxembourg,Moderna,4334
2021-12-13,Luxembourg,Moderna,4334
2021-12-14,Luxembourg,Moderna,4334
2021-12-15,Luxembourg,Moderna,4334
2021-12-16,Luxembourg,Moderna,4334
2021-12-17,Luxembourg,Moderna,3503
2021-12-18,Luxembourg,Moderna,3503
2021-12-19,Luxembourg,Moderna,3503
2021-12-20,Luxembourg,Moderna,3503
2021-12-21,Luxembourg,Moderna,3503
2021-12-22,Luxembourg,Moderna,3503
2021-12-23,Luxembourg,Moderna,3503
2021-12-24,Luxembourg,Moderna,3374
2021-12-25,Luxembourg,Moderna,3374
2021-12-26,Luxembourg,Moderna,3374
2021-12-27,Luxembourg,Moderna,3374
2021-12-28,Luxembourg,Moderna,3374
2021-12-29,Luxembourg,Moderna,3374
2021-12-30,Luxembourg,Moderna,3374
2021-12-31,Luxembourg,Moderna,4286
