date,location,vaccine,total_vaccinations
2021-01-01,Malta,Oxford/AstraZeneca,0
2021-01-01,Malta,Moderna,0
2021-01-02,Malta,Oxford/AstraZeneca,0
2021-01-02,Malta,Moderna,0
2021-01-03,Malta,Oxford/AstraZeneca,0
2021-01-03,Malta,Moderna,0
2021-01-04,Malta,Oxford/AstraZeneca,0
2021-01-04,Malta,Moderna,0
2021-01-05,Malta,Oxford/AstraZeneca,0
2021-01-05,Malta,Moderna,0
2021-01-06,Malta,Oxford/AstraZeneca,0
2021-01-06,Malta,Moderna,0
2021-01-07,Malta,Oxford/AstraZeneca,0
2021-01-07,Malta,Moderna,0
2021-01-08,Malta,Oxford/AstraZeneca,0
2021-01-08,Malta,Moderna,0
2021-01-09,Malta,Oxford/AstraZeneca,0
2021-01-09,Malta,Moderna,0
2021-01-10,Malta,Oxford/AstraZeneca,0
2021-01-10,Malta,Moderna,0
2021-01-11,Malta,Oxford/AstraZeneca,0
2021-01-11,Malta,Moderna,0
2021-01-12,Malta,Oxford/AstraZeneca,0
2021-01-12,Malta,Moderna,0
2021-01-13,Malta,Oxford/AstraZeneca,0
2021-01-13,Malta,Moderna,0
2021-01-14,Malta,Oxford/AstraZeneca,0
2021-01-14,Malta,Moderna,0
2021-01-15,Malta,Oxford/AstraZeneca,1
2021-01-15,Malta,Moderna,0
2021-01-16,Malta,Oxford/AstraZeneca,1
2021-01-16,Malta,Moderna,0
2021-01-17,Malta,Oxford/AstraZeneca,1
2021-01-17,Malta,Moderna,0
2021-01-18,Malta,Oxford/AstraZeneca,1
2021-01-18,Malta,Moderna,0
2021-01-19,Malta,Oxford/AstraZeneca,1
2021-01-19,Malta,Moderna,0
2021-01-20,Malta,Oxford/AstraZeneca,1
2021-01-20,Malta,Moderna,0
2021-01-21,Malta,Oxford/AstraZeneca,1
2021-01-21,Malta,Moderna,0
2021-01-22,Malta,Oxford/AstraZeneca,0
2021-01-22,Malta,Moderna,3
2021-01-23,Malta,Oxford/AstraZeneca,0
2021-01-23,Malta,Moderna,3
2021-01-24,Malta,Oxford/AstraZeneca,0
2021-01-24,Malta,Moderna,3
2021-01-25,Malta,Oxford/AstraZeneca,0
2021-01-25,Malta,Moderna,3
2021-01-26,Malta,Oxford/AstraZeneca,0
2021-01-26,Malta,Moderna,3
2021-01-27,Malta,Oxford/AstraZeneca,0
2021-01-27,Malta,Moderna,3
2021-01-28,Malta,Oxford/AstraZeneca,0
2021-01-28,Malta,Moderna,3
2021-01-29,Malta,Oxford/AstraZeneca,0
2021-01-29,Malta,Moderna,3
2021-01-30,Malta,Oxford/AstraZeneca,0
2021-01-30,Malta,Moderna,3
2021-01-31,Malta,Oxford/AstraZeneca,0
2021-01-31,Malta,Moderna,3
2021-02-01,Malta,Oxford/AstraZeneca,0
2021-02-01,Malta,Moderna,3
2021-02-02,Malta,Oxford/AstraZeneca,0
2021-02-02,Malta,Moderna,3
2021-02-03,Malta,Oxford/AstraZeneca,0
