date,location,vaccine,total_vaccinations
2021-01-01,Norway,Moderna,6
2021-01-01,Norway,Oxford/AstraZeneca,0
2021-01-02,Norway,Moderna,6
2021-01-02,Norway,Oxford/AstraZeneca,0
2021-01-03,Norway,Moderna,6
2021-01-03,Norway,Oxford/AstraZeneca,0
2021-01-04,Norway,Moderna,6
2021-01-04,Norway,Oxford/AstraZeneca,0
2021-01-05,Norway,Moderna,6
2021-01-05,Norway,Oxford/AstraZeneca,0
2021-01-06,Norway,Moderna,6
2021-01-06,Norway,Oxford/AstraZeneca,0
2021-01-07,Norway,Moderna,6
2021-01-07,Norway,Oxford/AstraZeneca,0
2021-01-08,Norway,Moderna,16
2021-01-08,Norway,Oxford/AstraZeneca,2
2021-01-09,Norway,Moderna,16
2021-01-09,Norway,Oxford/AstraZeneca,2
2021-01-10,Norway,Moderna,16
2021-01-10,Norway,Oxford/AstraZeneca,2
2021-01-11,Norway,Moderna,16
2021-01-11,Norway,Oxford/AstraZeneca,2
2021-01-12,Norway,Moderna,16
2021-01-12,Norway,Oxford/AstraZeneca,2
2021-01-13,Norway,Moderna,16
2021-01-13,Norway,Oxford/AstraZeneca,2
2021-01-14,Norway,Moderna,16
2021-01-14,Norway,Oxford/AstraZeneca,2
2021-01-15,Norway,Moderna,254
2021-01-15,Norway,Oxford/AstraZeneca,4
2021-01-16,Norway,Moderna,254
2021-01-16,Norway,Oxford/AstraZeneca,4
2021-01-17,Norway,Moderna,254
2021-01-17,Norway,Oxford/AstraZeneca,4
2021-01-18,Norway,Moderna,254
2021-01-18,Norway,Oxford/AstraZeneca,4
2021-01-19,Norway,Moderna,254
2021-01-19,Norway,Oxford/AstraZeneca,4
2021-01-20,Norway,Moderna,254
2021-01-20,Norway,Oxford/AstraZeneca,4
2021-01-21,Norway,Moderna,254
2021-01-21,Norway,Oxford/AstraZeneca,4
2021-01-22,Norway,Moderna,60
2021-01-22,Norway,Oxford/AstraZeneca,6
2021-01-23,Norway,Moderna,60
2021-01-23,Norway,Oxford/AstraZeneca,6
2021-01-24,Norway,Moderna,60
2021-01-24,Norway,Oxford/AstraZeneca,6
2021-01-25,Norway,Moderna,60
2021-01-25,Norway,Oxford/AstraZeneca,6
2021-01-26,Norway,Moderna,60
2021-01-26,Norway,Oxford/AstraZeneca,6
2021-01-27,Norway,Moderna,60
2021-01-27,Norway,Oxford/AstraZeneca,6
2021-01-28,Norway,Moderna,60
2021-01-28,Norway,Oxford/AstraZeneca,6
2021-01-29,Norway,Moderna,26
2021-01-29,Norway,Oxford/AstraZeneca,15
2021-01-30,Norway,Moderna,26
2021-01-30,Norway,Oxford/AstraZeneca,15
2021-01-31,Norway,Moderna,26
2021-01-31,Norway,Oxford/AstraZeneca,15
2021-02-01,Norway,Moderna,26
2021-02-01,Norway,Oxford/AstraZeneca,15
2021-02-02,Norway,Moderna,26
2021-02-02,Norway,Oxford/AstraZeneca,15
2021-02-03,Norway,Moderna,26
2021-02-03,Norway,Oxford/AstraZeneca,15
2021-02-04,Norway,Moderna,26
2021-02-04,Norway,Oxford/AstraZeneca,15
2021-02-05,Norway,Moderna,1454
2021-02-05,Norway,Oxford/AstraZeneca,17
2021-02-06,Norway,Moderna,1454
2021-02-06,Norway,Oxford/AstraZeneca,17
2021-02-07,Norway,Moderna,1454
2021-02-07,Norway,Oxford/AstraZeneca,17
2021-02-08,Norway,Moderna,1454
2021-02-08,Norway,Oxford/AstraZeneca,17
2021-02-09,Norway,Moderna,1454
2021-02-09,Norway,Oxford/AstraZeneca,17
2021-02-10,Norway,Moderna,1454
2021-02-10,Norway,Oxford/AstraZeneca,17
2021-02-11,Norway,Moderna,1454
2021-02-11,Norway,Oxford/AstraZeneca,17
2021-02-12,Norway,Moderna,336
2021-02-12,Norway,Oxford/AstraZeneca,2829
2021-02-13,Norway,Moderna,336
2021-02-13,Norway,Oxford/AstraZeneca,2829
2021-02-14,Norway,Moderna,336
2021-02-14,Norway,Oxford/AstraZeneca,2829
2021-02-15,Norway,Moderna,336
2021-02-15,Norway,Oxford/AstraZeneca,2829
2021-02-16,Norway,Moderna,336
2021-02-16,Norway,Oxford/AstraZeneca,2829
2021-02-17,Norway,Moderna,336
2021-02-17,Norway,Oxford/AstraZeneca,2829
2021-02-18,Norway,Moderna,336
2021-02-18,Norway,Oxford/AstraZeneca,2829
2021-02-19,Norway,Moderna,70
2021-02-19,Norway,Oxford/AstraZeneca,5120
2021-02-20,Norway,Moderna,70
2021-02-20,Norway,Oxford/AstraZeneca,5120
2021-02-21,Norway,Moderna,70
2021-02-21,Norway,Oxford/AstraZeneca,5120
2021-02-22,Norway,Moderna,70
2021-02-22,Norway,Oxford/AstraZeneca,5120
2021-02-23,Norway,Moderna,70
2021-02-23,Norway,Oxford/AstraZeneca,5120
2021-02-24,Norway,Moderna,70
2021-02-24,Norway,Oxford/AstraZeneca,5120
2021-02-25,Norway,Moderna,70
2021-02-25,Norway,Oxford/AstraZeneca,5120
2021-02-26,Norway,Moderna,883
2021-02-26,Norway,Oxford/AstraZeneca,7028
2021-02-27,Norway,Moderna,883
2021-02-27,Norway,Oxford/AstraZeneca,7028
2021-02-28,Norway,Moderna,883
2021-02-28,Norway,Oxford/AstraZeneca,7028
2021-03-01,Norway,Moderna,883
2021-03-01,Norway,Oxford/AstraZeneca,7028
2021-03-02,Norway,Moderna,883
2021-03-02,Norway,Oxford/AstraZeneca,7028
2021-03-03,Norway,Moderna,883
2021-03-03,Norway,Oxford/AstraZeneca,7028
2021-03-04,Norway,Moderna,883
2021-03-04,Norway,Oxford/AstraZeneca,7028
2021-03-05,Norway,Moderna,2032
