date,location,vaccine,total_vaccinations
2021-01-01,Poland,Moderna,0
2021-01-01,Poland,Novavax,0
2021-01-01,Poland,Oxford/AstraZeneca,0
2021-01-01,Poland,Pfizer/BioNTech,30188
2021-01-02,Poland,Moderna,0
2021-01-02,Poland,Novavax,0
2021-01-02,Poland,Oxford/AstraZeneca,0
2021-01-02,Poland,Pfizer/BioNTech,30188
2021-01-03,Poland,Moderna,0
2021-01-03,Poland,Novavax,0
2021-01-03,Poland,Oxford/AstraZeneca,0
2021-01-03,Poland,Pfizer/BioNTech,30188
2021-01-04,Poland,Moderna,0
2021-01-04,Poland,Novavax,0
2021-01-04,Poland,Oxford/AstraZeneca,0
2021-01-04,Poland,Pfizer/BioNTech,30188
2021-01-05,Poland,Moderna,0
2021-01-05,Poland,Novavax,0
2021-01-05,Poland,Oxford/AstraZeneca,0
2021-01-05,Poland,Pfizer/BioNTech,30188
2021-01-06,Poland,Moderna,0
2021-01-06,Poland,Novavax,0
2021-01-06,Poland,Oxford/AstraZeneca,0
2021-01-06,Poland,Pfizer/BioNTech,30188
2021-01-07,Poland,Moderna,0
2021-01-07,Poland,Novavax,0
2021-01-07,Poland,Oxford/AstraZeneca,0
2021-01-07,Poland,Pfizer/BioNTech,30188
2021-01-08,Poland,Moderna,0
2021-01-08,Poland,Novavax,0
2021-01-08,Poland,Oxford/AstraZeneca,0
2021-01-08,Poland,Pfizer/BioNTech,39023
2021-01-09,Poland,Moderna,0
2021-01-09,Poland,Novavax,0
2021-01-09,Poland,Oxford/AstraZeneca,0
2021-01-09,Poland,Pfizer/BioNTech,39023
2021-01-10,Poland,Moderna,0
2021-01-10,Poland,Novavax,0
2021-01-10,Poland,Oxford/AstraZeneca,0
2021-01-10,Poland,Pfizer/BioNTech,39023
2021-01-11,Poland,Moderna,0
2021-01-11,Poland,Novavax,0
2021-01-11,Poland,Oxford/AstraZeneca,0
2021-01-11,Poland,Pfizer/BioNTech,39023
2021-01-12,Poland,Moderna,0
2021-01-12,Poland,Novavax,0
2021-01-12,Poland,Oxford/AstraZeneca,0
2021-01-12,Poland,Pfizer/BioNTech,39023
2021-01-13,Poland,Moderna,0
2021-01-13,Poland,Novavax,0
2021-01-13,Poland,Oxford/AstraZeneca,0
2021-01-13,Poland,Pfizer/BioNTech,39023
2021-01-14,Poland,Moderna,0
2021-01-14,Poland,Novavax,0
2021-01-14,Poland,Oxford/AstraZeneca,0
2021-01-14,Poland,Pfizer/BioNTech,39023
2021-01-15,Poland,Moderna,2
2021-01-15,Poland,Novavax,0
2021-01-15,Poland,Oxford/AstraZeneca,1
2021-01-15,Poland,Pfizer/BioNTech,34816
2021-01-16,Poland,Moderna,2
2021-01-16,Poland,Novavax,0
2021-01-16,Poland,Oxford/AstraZeneca,1
2021-01-16,Poland,Pfizer/BioNTech,34816
2021-01-17,Poland,Moderna,2
2021-01-17,Poland,Novavax,0
