date,location,vaccine,total_vaccinations
2021-01-01,Spain,Moderna,0
2021-01-01,Spain,Oxford/AstraZeneca,0
2021-01-01,Spain,Pfizer/BioNTech,52510
2021-01-02,Spain,Moderna,0
2021-01-02,Spain,Oxford/AstraZeneca,0
2021-01-02,Spain,Pfizer/BioNTech,52510
2021-01-03,Spain,Moderna,0
2021-01-03,Spain,Oxford/AstraZeneca,0
2021-01-03,Spain,Pfizer/BioNTech,52510
2021-01-04,Spain,Moderna,0
2021-01-04,Spain,Oxford/AstraZeneca,0
2021-01-04,Spain,Pfizer/BioNTech,52510
2021-01-05,Spain,Moderna,0
2021-01-05,Spain,Oxford/AstraZeneca,0
2021-01-05,Spain,Pfizer/BioNTech,52510
2021-01-06,Spain,Moderna,0
2021-01-06,Spain,Oxford/AstraZeneca,0
2021-01-06,Spain,Pfizer/BioNTech,52510
2021-01-07,Spain,Moderna,0
2021-01-07,Spain,Oxford/AstraZeneca,0
2021-01-07,Spain,Pfizer/BioNTech,52510
2021-01-08,Spain,Moderna,1038
2021-01-08,Spain,Oxford/AstraZeneca,998
2021-01-08,Spain,Pfizer/BioNTech,71676
2021-01-09,Spain,Moderna,1038
2021-01-09,Spain,Oxford/AstraZeneca,998
2021-01-09,Spain,Pfizer/BioNTech,71676
2021-01-10,Spain,Moderna,1038
2021-01-10,Spain,Oxford/AstraZeneca,998
2021-01-10,Spain,Pfizer/BioNTech,71676
2021-01-11,Spain,Moderna,1038
2021-01-11,Spain,Oxford/AstraZeneca,998
2021-01-11,Spain,Pfizer/BioNTech,71676
2021-01-12,Spain,Moderna,1038
2021-01-12,Spain,Oxford/AstraZeneca,998
2021-01-12,Spain,Pfizer/BioNTech,71676
2021-01-13,Spain,Moderna,1038
2021-01-13,Spain,Oxford/AstraZeneca,998
2021-01-13,Spain,Pfizer/BioNTech,71676
2021-01-14,Spain,Moderna,1038
2021-01-14,Spain,Oxford/AstraZeneca,998
2021-01-14,Spain,Pfizer/BioNTech,71676
2021-01-15,Spain,Moderna,2636
2021-01-15,Spain,Oxford/AstraZeneca,998
2021-01-15,Spain,Pfizer/BioNTech,46154
2021-01-16,Spain,Moderna,2636
2021-01-16,Spain,Oxford/AstraZeneca,998
2021-01-16,Spain,Pfizer/BioNTech,46154
2021-01-17,Spain,Moderna,2636
2021-01-17,Spain,Oxford/AstraZeneca,998
2021-01-17,Spain,Pfizer/BioNTech,46154
2021-01-18,Spain,Moderna,2636
2021-01-18,Spain,Oxford/AstraZeneca,998
2021-01-18,Spain,Pfizer/BioNTech,46154
2021-01-19,Spain,Moderna,2636
2021-01-19,Spain,Oxford/AstraZeneca,998
2021-01-19,Spain,Pfizer/BioNTech,46154
2021-01-20,Spain,Moderna,2636
2021-01-20,Spain,Oxford/AstraZeneca,998
2021-01-20,Spain,Pfizer/BioNTech,46154
2021-01-21,Spain,Moderna,2636
2021-01-21,Spain,Oxford/AstraZeneca,998
2021-01-21,Spain,Pfizer/BioNTech,46154
2021-01-22,Spain,Moderna,557
2021-01-22,Spain,Oxford/AstraZeneca,998
2021-01-22,Spain,Pfizer/BioNTech,53162
2021-01-23,Spain,Moderna,557
2021-01-23,Spain,Oxford/AstraZeneca,998
2021-01-23,Spain,Pfizer/BioNTech,53162
2021-01-24,Spain,Moderna,557
2021-01-24,Spain,Oxford/AstraZeneca,998
2021-01-24,Spain,Pfizer/BioNTech,53162
