date,location,vaccine,total_vaccinations
2021-01-01,Sweden,Novavax,0
2021-01-01,Sweden,Oxford/AstraZeneca,233
2021-01-01,Sweden,Pfizer/BioNTech,4639
2021-01-02,Sweden,Novavax,0
2021-01-02,Sweden,Oxford/AstraZeneca,233
2021-01-02,Sweden,Pfizer/BioNTech,4639
2021-01-03,Sweden,Novavax,0
2021-01-03,Sweden,Oxford/AstraZeneca,233
2021-01-03,Sweden,Pfizer/BioNTech,4639
2021-01-04,Sweden,Novavax,0
2021-01-04,Sweden,Oxford/AstraZeneca,233
2021-01-04,Sweden,Pfizer/BioNTech,4639
2021-01-05,Sweden,Novavax,0
2021-01-05,Sweden,Oxford/AstraZeneca,233
2021-01-05,Sweden,Pfizer/BioNTech,4639
2021-01-06,Sweden,Novavax,0
2021-01-06,Sweden,Oxford/AstraZeneca,233
2021-01-06,Sweden,Pfizer/BioNTech,4639
2021-01-07,Sweden,Novavax,0
2021-01-07,Sweden,Oxford/AstraZeneca,233
2021-01-07,Sweden,Pfizer/BioNTech,4639
2021-01-08,Sweden,Novavax,0
2021-01-08,Sweden,Oxford/AstraZeneca,233
2021-01-08,Sweden,Pfizer/BioNTech,9037
2021-01-09,Sweden,Novavax,0
2021-01-09,Sweden,Oxford/AstraZeneca,233
2021-01-09,Sweden,Pfizer/BioNTech,9037
2021-01-10,Sweden,Novavax,0
2021-01-10,Sweden,Oxford/AstraZeneca,233
2021-01-10,Sweden,Pfizer/BioNTech,9037
2021-01-11,Sweden,Novavax,0
2021-01-11,Sweden,Oxford/AstraZeneca,233
2021-01-11,Sweden,Pfizer/BioNTech,9037
2021-01-12,Sweden,Novavax,0
2021-01-12,Sweden,Oxford/AstraZeneca,233
2021-01-12,Sweden,Pfizer/BioNTech,9037
2021-01-13,Sweden,Novavax,0
2021-01-13,Sweden,Oxford/AstraZeneca,233
2021-01-13,Sweden,Pfizer/BioNTech,9037
2021-01-14,Sweden,Novavax,0
2021-01-14,Sweden,Oxford/AstraZeneca,233
2021-01-14,Sweden,Pfizer/BioNTech,9037
2021-01-15,Sweden,Novavax,0
2021-01-15,Sweden,Oxford/AstraZeneca,233
2021-01-15,Sweden,Pfizer/BioNTech,13684
2021-01-16,Sweden,Novavax,0
2021-01-16,Sweden,Oxford/AstraZeneca,233
2021-01-16,Sweden,Pfizer/BioNTech,13684
2021-01-17,Sweden,Novavax,0
2021-01-17,Sweden,Oxford/AstraZeneca,233
2021-01-17,Sweden,Pfizer/BioNTech,13684
2021-01-18,Sweden,Novavax,0
2021-01-18,Sweden,Oxford/AstraZeneca,233
2021-01-18,Sweden,Pfizer/BioNTech,13684
2021-01-19,Sweden,Novavax,0
2021-01-19,Sweden,Oxford/AstraZeneca,233
2021-01-19,Sweden,Pfizer/BioNTech,13684
2021-01-20,Sweden,Novavax,0
2021-01-20,Sweden,Oxford/AstraZeneca,233
2021-01-20,Sweden,Pfizer/BioNTech,13684
2021-01-21,Sweden,Novavax,0
2021-01-21,Sweden,Oxford/AstraZeneca,233
2021-01-21,Sweden,Pfizer/BioNTech,13684
2021-01-22,Sweden,Novavax,0
2021-01-22,Sweden,Oxford/AstraZeneca,233
2021-01-22,Sweden,Pfizer/BioNTech,10469
2021-01-23,Sweden,Novavax,0
2021-01-23,Sweden,Oxford/AstraZeneca,233
2021-01-23,Sweden,Pfizer/BioNTech,10469
2021-01-24,Sweden,Novavax,0
2021-01-24,Sweden,Oxford/AstraZeneca,233
2021-01-24,Sweden,Pfizer/BioNTech,10469
2021-01-25,Sweden,Novavax,0
2021-01-25,Sweden,Oxford/AstraZeneca,233
2021-01-25,Sweden,Pfizer/BioNTech,10469
2021-01-26,Sweden,Novavax,0
2021-01-26,Sweden,Oxford/AstraZeneca,233
2021-01-26,Sweden,Pfizer/BioNTech,10469
2021-01-27,Sweden,Novavax,0
2021-01-27,Sweden,Oxford/AstraZeneca,233
2021-01-27,Sweden,Pfizer/BioNTech,10469
2021-01-28,Sweden,Novavax,0
2021-01-28,Sweden,Oxford/AstraZeneca,233
2021-01-28,Sweden,Pfizer/BioNTech,10469
2021-01-29,Sweden,Novavax,0
2021-01-29,Sweden,Oxford/AstraZeneca,233
2021-01-29,Sweden,Pfizer/BioNTech,11254
2021-01-30,Sweden,Novavax,0
2021-01-30,Sweden,Oxford/AstraZeneca,233
2021-01-30,Sweden,Pfizer/BioNTech,11254
2021-01-31,Sweden,Novavax,0
2021-01-31,Sweden,Oxford/AstraZeneca,233
2021-01-31,Sweden,Pfizer/BioNTech,11254
2021-02-01,Sweden,Novavax,0
2021-02-01,Sweden,Oxford/AstraZeneca,233
2021-02-01,Sweden,Pfizer/BioNTech,11254
2021-02-02,Sweden,Novavax,0
2021-02-02,Sweden,Oxford/AstraZeneca,233
2021-02-02,Sweden,Pfizer/BioNTech,11254
2021-02-03,Sweden,Novavax,0
2021-02-03,Sweden,Oxford/AstraZeneca,233
2021-02-03,Sweden,Pfizer/BioNTech,11254
2021-02-04,Sweden,Novavax,0
2021-02-04,Sweden,Oxford/AstraZeneca,233
2021-02-04,Sweden,Pfizer/BioNTech,11254
2021-02-05,Sweden,Novavax,0
